Date,Time,CATHROCK
2/1/12,0:00:00,0.757575697
2/1/12,0:15:00,0.759242379
2/1/12,0:30:00,0.743636333
2/1/12,0:45:00,0.742121152
2/1/12,1:00:00,0.741818106
2/1/12,1:15:00,0.726666652
2/1/12,1:30:00,0.735757545
2/1/12,1:45:00,0.723787833
2/1/12,2:00:00,0.722727227
2/1/12,2:15:00,0.729999939
2/1/12,2:30:00,0.711969667
2/1/12,2:45:00,0.707424227
2/1/12,3:00:00,0.708787864
2/1/12,3:15:00,0.697727197
2/1/12,3:30:00,0.702272697
2/1/12,3:45:00,0.697727197
2/1/12,4:00:00,0.698939348
2/1/12,4:15:00,0.69530297
2/1/12,4:30:00,0.699545424
2/1/12,4:45:00,0.699999955
2/1/12,5:00:00,0.697878758
2/1/12,5:15:00,0.694696939
2/1/12,5:30:00,0.702272697
2/1/12,5:45:00,0.698333273
2/1/12,6:00:00,0.700302985
2/1/12,6:15:00,0.700909061
2/1/12,6:30:00,0.639393894
2/1/12,6:45:00,0.353030288
2/1/12,7:00:00,0.498030288
2/1/12,7:15:00,0.283787879
2/1/12,7:30:00,0.235909076
2/1/12,7:45:00,0.382878773
2/1/12,8:00:00,0.223787879
2/1/12,8:15:00,0.17045453
2/1/12,8:30:00,0.088484848
2/1/12,8:45:00,0.081212121
2/1/12,9:00:00,0.058181818
2/1/12,9:15:00,0.067727273
2/1/12,9:30:00,0.51499997
2/1/12,9:45:00,0.514696924
2/1/12,10:00:00,0.461060576
2/1/12,10:15:00,0.448030273
2/1/12,10:30:00,0.424545439
2/1/12,10:45:00,0.360909061
2/1/12,11:00:00,0.280909076
2/1/12,11:15:00,0.122727258
2/1/12,11:30:00,0.117575758
2/1/12,11:45:00,0.126515136
2/1/12,12:00:00,0.108939394
2/1/12,12:15:00,0.347272697
2/1/12,12:30:00,0.316515136
2/1/12,12:45:00,0.204696955
2/1/12,13:00:00,0.076515152
2/1/12,13:15:00,0.088030288
2/1/12,13:30:00,0.292727273
2/1/12,13:45:00,0.3451515
2/1/12,14:00:00,0.097727273
2/1/12,14:15:00,0.023484848
2/1/12,14:30:00,0.082878788
2/1/12,14:45:00,0.141363636
2/1/12,15:00:00,0.152727258
2/1/12,15:15:00,0.0
2/1/12,15:30:00,0.0
2/1/12,15:45:00,0.0
2/1/12,16:00:00,0.0
2/1/12,16:15:00,0.0
2/1/12,16:30:00,0.0
2/1/12,16:45:00,0.0
2/1/12,17:00:00,0.0
2/1/12,17:15:00,0.0
2/1/12,17:30:00,0.0
2/1/12,17:45:00,0.0
2/1/12,18:00:00,0.0
2/1/12,18:15:00,0.0
2/1/12,18:30:00,0.06030303
2/1/12,18:45:00,0.042878788
2/1/12,19:00:00,0.053636364
2/1/12,19:15:00,0.17030303
2/1/12,19:30:00,0.203787864
2/1/12,19:45:00,0.342878773
2/1/12,20:00:00,0.218333318
2/1/12,20:15:00,0.169242409
2/1/12,20:30:00,0.292272712
2/1/12,20:45:00,0.224393924
2/1/12,21:00:00,0.050151515
2/1/12,21:15:00,0.107424242
2/1/12,21:30:00,0.163030288
2/1/12,21:45:00,0.0
2/1/12,22:00:00,0.0
2/1/12,22:15:00,0.036969697
2/1/12,22:30:00,0.0
2/1/12,22:45:00,0.0
2/1/12,23:00:00,0.0
2/1/12,23:15:00,0.024393939
2/1/12,23:30:00,0.0
2/1/12,23:45:00,0.0
3/1/12,0:00:00,0.0
3/1/12,0:15:00,0.0
3/1/12,0:30:00,0.0
3/1/12,0:45:00,0.0
3/1/12,1:00:00,0.0
3/1/12,1:15:00,0.0
3/1/12,1:30:00,0.0
3/1/12,1:45:00,0.0
3/1/12,2:00:00,0.0
3/1/12,2:15:00,0.0
3/1/12,2:30:00,0.0
3/1/12,2:45:00,0.0
3/1/12,3:00:00,0.0
3/1/12,3:15:00,0.0
3/1/12,3:30:00,0.0
3/1/12,3:45:00,0.0
3/1/12,4:00:00,0.0
3/1/12,4:15:00,0.0
3/1/12,4:30:00,0.0
3/1/12,4:45:00,0.0
3/1/12,5:00:00,0.0
3/1/12,5:15:00,0.0
3/1/12,5:30:00,0.0
3/1/12,5:45:00,0.0
3/1/12,6:00:00,0.0
3/1/12,6:15:00,0.033333333
3/1/12,6:30:00,0.036515152
3/1/12,6:45:00,0.07969697
3/1/12,7:00:00,0.087575758
3/1/12,7:15:00,0.112727273
3/1/12,7:30:00,0.12030303
3/1/12,7:45:00,0.135
3/1/12,8:00:00,0.143939379
3/1/12,8:15:00,0.15
3/1/12,8:30:00,0.171818167
3/1/12,8:45:00,0.163181818
3/1/12,9:00:00,0.166515152
3/1/12,9:15:00,0.1901515
3/1/12,9:30:00,0.159696955
3/1/12,9:45:00,0.158939394
3/1/12,10:00:00,0.179393924
3/1/12,10:15:00,0.206060591
3/1/12,10:30:00,0.200454545
3/1/12,10:45:00,0.196060606
3/1/12,11:00:00,0.166515152
3/1/12,11:15:00,0.163939394
3/1/12,11:30:00,0.141515136
3/1/12,11:45:00,0.134393939
3/1/12,12:00:00,0.141818182
3/1/12,12:15:00,0.107878773
3/1/12,12:30:00,0.119545439
3/1/12,12:45:00,0.168030288
3/1/12,13:00:00,0.254696955
3/1/12,13:15:00,0.417575727
3/1/12,13:30:00,0.281969682
3/1/12,13:45:00,0.193030288
3/1/12,14:00:00,0.190606045
3/1/12,14:15:00,0.15984847
3/1/12,14:30:00,0.1801515
3/1/12,14:45:00,0.150757576
3/1/12,15:00:00,0.101515152
3/1/12,15:15:00,0.053181818
3/1/12,15:30:00,0.093636364
3/1/12,15:45:00,0.095151515
3/1/12,16:00:00,0.097272727
3/1/12,16:15:00,0.106969682
3/1/12,16:30:00,0.080909091
3/1/12,16:45:00,0.058333333
3/1/12,17:00:00,0.070909091
3/1/12,17:15:00,0.124999985
3/1/12,17:30:00,0.162272712
3/1/12,17:45:00,0.145606061
3/1/12,18:00:00,0.143030303
3/1/12,18:15:00,0.173636348
3/1/12,18:30:00,0.312272712
3/1/12,18:45:00,0.369090894
3/1/12,19:00:00,0.536969682
3/1/12,19:15:00,0.621818136
3/1/12,19:30:00,0.602272667
3/1/12,19:45:00,0.746212061
3/1/12,20:00:00,0.773030258
3/1/12,20:15:00,0.749242379
3/1/12,20:30:00,0.597878773
3/1/12,20:45:00,0.691666636
3/1/12,21:00:00,0.767878727
3/1/12,21:15:00,0.751818167
3/1/12,21:30:00,0.675757545
3/1/12,21:45:00,0.677121197
3/1/12,22:00:00,0.718030242
3/1/12,22:15:00,0.689545424
3/1/12,22:30:00,0.622424212
3/1/12,22:45:00,0.663181773
3/1/12,23:00:00,0.701818121
3/1/12,23:15:00,0.673787833
3/1/12,23:30:00,0.660151455
3/1/12,23:45:00,0.611212061
4/1/12,0:00:00,0.679090848
4/1/12,0:15:00,0.697575712
4/1/12,0:30:00,0.680303
4/1/12,0:45:00,0.516212121
4/1/12,1:00:00,0.435303
4/1/12,1:15:00,0.517575758
4/1/12,1:30:00,0.482272697
4/1/12,1:45:00,0.381666652
4/1/12,2:00:00,0.364393924
4/1/12,2:15:00,0.355303015
4/1/12,2:30:00,0.342121182
4/1/12,2:45:00,0.323030303
4/1/12,3:00:00,0.281363636
4/1/12,3:15:00,0.210606061
4/1/12,3:30:00,0.271969682
4/1/12,3:45:00,0.331212106
4/1/12,4:00:00,0.264090879
4/1/12,4:15:00,0.212121197
4/1/12,4:30:00,0.362121182
4/1/12,4:45:00,0.36999997
4/1/12,5:00:00,0.265303
4/1/12,5:15:00,0.330909061
4/1/12,5:30:00,0.326818182
4/1/12,5:45:00,0.207121197
4/1/12,6:00:00,0.182575742
4/1/12,6:15:00,0.218636348
4/1/12,6:30:00,0.24545453
4/1/12,6:45:00,0.336818182
4/1/12,7:00:00,0.324393909
4/1/12,7:15:00,0.335757545
4/1/12,7:30:00,0.279242394
4/1/12,7:45:00,0.278333318
4/1/12,8:00:00,0.306060591
4/1/12,8:15:00,0.326515136
4/1/12,8:30:00,0.267575758
4/1/12,8:45:00,0.228030288
4/1/12,9:00:00,0.242121212
4/1/12,9:15:00,0.213636348
4/1/12,9:30:00,0.221363621
4/1/12,9:45:00,0.237575742
4/1/12,10:00:00,0.213484833
4/1/12,10:15:00,0.172424227
4/1/12,10:30:00,0.232424227
4/1/12,10:45:00,0.379090894
4/1/12,11:00:00,0.313787864
4/1/12,11:15:00,0.30060603
4/1/12,11:30:00,0.305757545
4/1/12,11:45:00,0.276515121
4/1/12,12:00:00,0.288181803
4/1/12,12:15:00,0.267272712
4/1/12,12:30:00,0.248484848
4/1/12,12:45:00,0.269242409
4/1/12,13:00:00,0.247272727
4/1/12,13:15:00,0.342424212
4/1/12,13:30:00,0.33545453
4/1/12,13:45:00,0.351212091
4/1/12,14:00:00,0.328030303
4/1/12,14:15:00,0.290757561
4/1/12,14:30:00,0.311969667
4/1/12,14:45:00,0.30530303
4/1/12,15:00:00,0.368939364
4/1/12,15:15:00,0.401515121
4/1/12,15:30:00,0.508181773
4/1/12,15:45:00,0.433030273
4/1/12,16:00:00,0.463030273
4/1/12,16:15:00,0.461212106
4/1/12,16:30:00,0.489999939
4/1/12,16:45:00,0.49499997
4/1/12,17:00:00,0.557575742
4/1/12,17:15:00,0.475606015
4/1/12,17:30:00,0.519545409
4/1/12,17:45:00,0.536363606
4/1/12,18:00:00,0.509545409
4/1/12,18:15:00,0.457878742
4/1/12,18:30:00,0.570757545
4/1/12,18:45:00,0.514545439
4/1/12,19:00:00,0.444696939
4/1/12,19:15:00,0.376666652
4/1/12,19:30:00,0.474545424
4/1/12,19:45:00,0.34999997
4/1/12,20:00:00,0.282727273
4/1/12,20:15:00,0.297575742
4/1/12,20:30:00,0.299999985
4/1/12,20:45:00,0.34045453
4/1/12,21:00:00,0.234090894
4/1/12,21:15:00,0.251666652
4/1/12,21:30:00,0.250151485
4/1/12,21:45:00,0.288181803
4/1/12,22:00:00,0.226818167
4/1/12,22:15:00,0.213787864
4/1/12,22:30:00,0.27
4/1/12,22:45:00,0.258484833
4/1/12,23:00:00,0.277575758
4/1/12,23:15:00,0.296363621
4/1/12,23:30:00,0.299545439
4/1/12,23:45:00,0.275757561
5/1/12,0:00:00,0.263636364
5/1/12,0:15:00,0.266515121
5/1/12,0:30:00,0.292424227
5/1/12,0:45:00,0.288939394
5/1/12,1:00:00,0.292424227
5/1/12,1:15:00,0.308939379
5/1/12,1:30:00,0.255151485
5/1/12,1:45:00,0.239545439
5/1/12,2:00:00,0.242272712
5/1/12,2:15:00,0.260303
5/1/12,2:30:00,0.242878773
5/1/12,2:45:00,0.258333318
5/1/12,3:00:00,0.231818167
5/1/12,3:15:00,0.153636348
5/1/12,3:30:00,0.135606061
5/1/12,3:45:00,0.109242424
5/1/12,4:00:00,0.085757576
5/1/12,4:15:00,0.11469697
5/1/12,4:30:00,0.11969697
5/1/12,4:45:00,0.152272712
5/1/12,5:00:00,0.181969682
5/1/12,5:15:00,0.24045453
5/1/12,5:30:00,0.186363621
5/1/12,5:45:00,0.202121197
