Date,Time,HALLWF1
2/1/12,0:00:00,0.753544974
2/1/12,0:15:00,0.782433862
2/1/12,0:30:00,0.811005291
2/1/12,0:45:00,0.831111111
2/1/12,1:00:00,0.86962963
2/1/12,1:15:00,0.854391534
2/1/12,1:30:00,0.89047619
2/1/12,1:45:00,0.836402116
2/1/12,2:00:00,0.812063492
2/1/12,2:15:00,0.819047619
2/1/12,2:30:00,0.82973545
2/1/12,2:45:00,0.793544974
2/1/12,3:00:00,0.825396825
2/1/12,3:15:00,0.857248677
2/1/12,3:30:00,0.631957672
2/1/12,3:45:00,0.952380952
2/1/12,4:00:00,0.933862434
2/1/12,4:15:00,0.952169312
2/1/12,4:30:00,0.949100529
2/1/12,4:45:00,0.925714286
2/1/12,5:00:00,0.941058201
2/1/12,5:15:00,0.943386243
2/1/12,5:30:00,0.931640212
2/1/12,5:45:00,0.925185185
2/1/12,6:00:00,0.93978836
2/1/12,6:15:00,0.900846561
2/1/12,6:30:00,0.87968254
2/1/12,6:45:00,0.898835979
2/1/12,7:00:00,0.892169312
2/1/12,7:15:00,0.90984127
2/1/12,7:30:00,0.89026455
2/1/12,7:45:00,0.903174603
2/1/12,8:00:00,0.911640212
2/1/12,8:15:00,0.902539683
2/1/12,8:30:00,0.923703704
2/1/12,8:45:00,0.886243386
2/1/12,9:00:00,0.891005291
2/1/12,9:15:00,0.888359788
2/1/12,9:30:00,0.802751323
2/1/12,9:45:00,0.856719577
2/1/12,10:00:00,0.712486772
2/1/12,10:15:00,0.671322751
2/1/12,10:30:00,0.560529101
2/1/12,10:45:00,0.513756614
2/1/12,11:00:00,0.393968254
2/1/12,11:15:00,0.405396825
2/1/12,11:30:00,0.358306878
2/1/12,11:45:00,0.302433862
2/1/12,12:00:00,0.236084656
2/1/12,12:15:00,0.242857143
2/1/12,12:30:00,0.188571429
2/1/12,12:45:00,0.134814815
2/1/12,13:00:00,0.146455026
2/1/12,13:15:00,0.076931217
2/1/12,13:30:00,0.128359788
2/1/12,13:45:00,0.149312169
2/1/12,14:00:00,0.12994709
2/1/12,14:15:00,0.091322751
2/1/12,14:30:00,0.047089947
2/1/12,14:45:00,0.052592593
